SETOR;SIGLA;CIDADE
SUBGERÊNCIA DE ACOMPANHAMENTO E CONTROLE DE CONVÊNIOS;SGACV;João Pessoa
Subgerência de Acompanhamento e Manutenção de Obras;SGMOB;João Pessoa
Subgerência de Armazenamento, Conservação e Preservação de Documentos;SGCAD;João Pessoa
SUBGERENCIA DE ATENDIMENTO;SGATEN;João Pessoa
Subgerência de Cadastro de Patrimônio Imóvel para Recuperação ou Reforma;SGREF;João Pessoa
Subgerência de Classificação da Saúde e Segurança do Trabalho;SGCST;João Pessoa
Subgerência de Contabilidade;SGCONT;João Pessoa
Subgerência de Contratações das Aquisições;SGCAQ;João Pessoa
SUBGERENCIA DE CONTROLE DE CONTRATOS E CONVENIOS;SGCCC;João Pessoa
SUBGERENCIA DE CONTROLE DE PESSOAL;SGCONP;João Pessoa
Subgerência de Controle de Pessoas e do Acompanhamento da Vida Funcional;SGCPA;João Pessoa
Subgerência de Controle e Registro de Patrimônio;SGREG;João Pessoa
SUBGERENCIA DE DESENVOLVIMENTO;SGDES;João Pessoa
Subgerência de Desenvolvimento e Capacitação de Profissionais;SGDCP;João Pessoa
SUBGERENCIA DE DESENVOLVIMENTO E FORMACAO DOS PROFISSIONAIS DA SEECT/PB;SGFOR;João Pessoa
Subgerência de Elaboração e Avaliação de Projetos Arquitetônicos;SGPRO;João Pessoa
SUBGERENCIA DE ESTATISTICA;SGEST;João Pessoa
SUBGERENCIA DE FINANCAS;SGFIN;João Pessoa
Subgerência de Infraestrutura, Atendimento e Conectividade;SGIAC;João Pessoa
Subgerência de Infraestrutura e Atendimento à Rede;SGIAR;João Pessoa
Subgerência de Movimentação de Pessoas;SGMOP;João Pessoa
Subgerência de Padronização;SGPAD;João Pessoa
Subgerência de Planejamento de Aquisições;SGPLQ;João Pessoa
Subgerência de Planejamento e Orçamento;SGPAN;João Pessoa
SUBGERENCIA DE PLANEJAMENTO E ORCAMENTO;SGPLAN;João Pessoa
Subgerência de Produção Gráfica;SGRAF;João Pessoa
Subgerência de Protocolo e Registro de Documentos;SGPRE;João Pessoa
Subgerência de Provisão de Recrutamento e Avaliação de Profissionais;SGPRA;João Pessoa
Subgerência de Registro de Preços;SGRPR;João Pessoa
Subgerência de Serviços Gerais;SGSER;João Pessoa
SUBGERENCIA DE SUPORTE;SGSUP;João Pessoa
Subgerência de Transportes;SGTRA;João Pessoa
SUGERENCIA DE FINANCAS;SGFIN;João Pessoa
SUPLETIVO;SUPLETIVO;João Pessoa
